label	group	source_commit	tree_sha256	expected_final_hpwl_micron	expected_delta_percent	expected_runtime_seconds	expected_runtime_ratio
missed_01	missed_handoff_sourceTopK	66c43b86924957a8d7031b03dab959c38eb5a55b	16e58237f680b470773a53157bde398d8e6cef1bfbe93c401a602285fc9f0e2f	5876161.5	1.577347753854845	153.442	0.9924455080525192
missed_02	missed_handoff_sourceTopK	e8b442ceed71ae9535d59f1807b982427ea8e37f	92b137257ee058b061205a7dc52df8b010dfeef371cc4f0e07d8c157e1577e8f	5875982.2	1.574248312416374	148.244	0.9588254317314533
missed_03	missed_handoff_sourceTopK	a4c2d665af8efd535b5f607ca395930e48b37348	838b3dc08def05f15b2d322ca0cb016e7b9738c06d5c7bc3d540e994c0b5c033	5851575.4	1.1523439772208957	141.462	0.9149576353405342
missed_04	missed_handoff_sourceTopK	f12ed9e7eabe642b14060d57317432e390fe08e6	df5e30f420ef7fe7ab022fbeeaebcedd704874b5e2033586cc474d5fc33ff15b	5886855.5	1.762207914161828	216.545	1.4005911648664382
guided_iter_01	level1_guided_handoff	b3c99e956a33b5b8667f78d1e0d9b5feb5be4774	a5814880b96ab2abee01b448f62dc5652cb229134ad29f193213a80878db5bbd	5597316.3	-3.2428662327575424	108.091	0.6991190737985901
guided_iter_02	level1_guided_handoff	e989eae50e089532e58e89a81f703f8d31aa46a5	b808c5b5bb0fd1045f057bdc2e0538cb89ac460e34ac0e8002dbb40000ff195f	5595387.7	-3.2762046753578766	110.336	0.7136420671366664
