program	discovery_case	target_case	status	default_hpwl	candidate_hpwl	delta_hpwl_percent	default_runtime_s	candidate_runtime_s	runtime_ratio	score	results_tsv
P_jpeg_nangate45	jpeg_nangate45	ibex_nangate45	PASS	200130.4	199600.6	-0.265	5.051	10.912	2.160	-0.887	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_jpeg_nangate45/results.tsv
P_jpeg_nangate45	jpeg_nangate45	jpeg_asap7	PASS	134573.0	133423.0	-0.855	22.995	29.489	1.282	0.626	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_jpeg_nangate45/results.tsv
P_jpeg_nangate45	jpeg_nangate45	jpeg_nangate45	PASS	467235.7	459636.5	-1.626	33.489	30.438	0.909	1.626	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_jpeg_nangate45/results.tsv
P_jpeg_nangate45	jpeg_nangate45	swerv_wrapper_asap7	PASS	913899.8	914012.0	+0.012	57.366	82.251	1.434	-0.419	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_jpeg_nangate45/results.tsv
P_jpeg_nangate45	jpeg_nangate45	swerv_wrapper_nangate45	PASS	3267840.1	3265902.7	-0.059	33.953	48.614	1.432	-0.345	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_jpeg_nangate45/results.tsv
P_swerv_wrapper_asap7	swerv_wrapper_asap7	aes_asap7	PASS	42207.8	41729.7	-1.133	5.330	8.347	1.566	0.578	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_asap7/results.tsv
P_swerv_wrapper_asap7	swerv_wrapper_asap7	aes_nangate45	PASS	176845.1	178792.2	+1.101	6.030	6.403	1.062	-1.101	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_asap7/results.tsv
P_swerv_wrapper_asap7	swerv_wrapper_asap7	ariane133_nangate45	PASS	5784913.3	5612296.8	-2.984	151.252	128.526	0.850	2.984	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_asap7/results.tsv
P_swerv_wrapper_asap7	swerv_wrapper_asap7	ibex_asap7	PASS	63342.0	63032.9	-0.488	6.905	12.541	1.816	-0.330	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_asap7/results.tsv
P_swerv_wrapper_asap7	swerv_wrapper_asap7	ibex_nangate45	PASS	200130.4	199468.1	-0.331	5.051	7.154	1.416	-0.056	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_asap7/results.tsv
P_swerv_wrapper_asap7	swerv_wrapper_asap7	jpeg_asap7	PASS	134573.0	133944.7	-0.467	22.995	29.986	1.304	0.212	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_asap7/results.tsv
P_swerv_wrapper_asap7	swerv_wrapper_asap7	jpeg_nangate45	PASS	467235.7	464774.9	-0.527	33.489	39.352	1.175	0.430	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_asap7/results.tsv
P_swerv_wrapper_asap7	swerv_wrapper_asap7	swerv_wrapper_asap7	PASS	913899.8	911152.2	-0.301	57.366	74.611	1.301	0.050	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_asap7/results.tsv
P_swerv_wrapper_asap7	swerv_wrapper_asap7	swerv_wrapper_nangate45	PASS	3267840.1	3276700.7	+0.271	33.953	46.143	1.359	-0.591	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_asap7/results.tsv
P_swerv_wrapper_nangate45	swerv_wrapper_nangate45	aes_asap7	PASS	42207.8	41809.2	-0.944	5.330	8.590	1.612	0.340	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_nangate45/results.tsv
P_swerv_wrapper_nangate45	swerv_wrapper_nangate45	aes_nangate45	PASS	176845.1	176676.9	-0.095	6.030	8.434	1.399	-0.271	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_nangate45/results.tsv
P_swerv_wrapper_nangate45	swerv_wrapper_nangate45	ariane133_nangate45	PASS	5784913.3	5761096.9	-0.412	151.252	160.014	1.058	0.412	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_nangate45/results.tsv
P_swerv_wrapper_nangate45	swerv_wrapper_nangate45	ibex_asap7	PASS	63342.0	63216.6	-0.198	6.905	8.400	1.217	0.050	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_nangate45/results.tsv
P_swerv_wrapper_nangate45	swerv_wrapper_nangate45	ibex_nangate45	PASS	200130.4	199382.1	-0.374	5.051	5.980	1.184	0.266	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_nangate45/results.tsv
P_swerv_wrapper_nangate45	swerv_wrapper_nangate45	jpeg_asap7	PASS	134573.0	133736.5	-0.622	22.995	25.028	1.088	0.622	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_nangate45/results.tsv
P_swerv_wrapper_nangate45	swerv_wrapper_nangate45	jpeg_nangate45	PASS	467235.7	471616.7	+0.938	33.489	38.514	1.150	-1.002	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_nangate45/results.tsv
P_swerv_wrapper_nangate45	swerv_wrapper_nangate45	swerv_wrapper_asap7	PASS	913899.8	911628.3	-0.249	57.366	61.964	1.080	0.249	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_nangate45/results.tsv
P_swerv_wrapper_nangate45	swerv_wrapper_nangate45	swerv_wrapper_nangate45	PASS	3267840.1	3251810.1	-0.491	33.953	38.440	1.132	0.449	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_swerv_wrapper_nangate45/results.tsv
