trial	status	score	hpwl_final	hpwl_ref	hpwl_delta_percent	runtime	runtime_ratio	gain_hr	hpwl_gain_percent	runtime_penalty_pp	legalize_exit_status	metrics_path	improve_random_seed	improve_max_displacement	improve_enable_extra_dpl	global_swap_tradeoff	global_swap_area_weight	global_swap_pin_weight	global_swap_congestion_user_weight	global_swap_sampling_moves	global_swap_normalization_interval	global_swap_profiling_excess	global_swap_budget_multipliers
e49c1d32	ok	913970.1	913970.1	913899.8	0.00769230937570291	64.378	1.1222326813792143	-0.03655344190089473	-0.00769230937570291	0.028861132525191825	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_e49c1d32_b746e0edec82/metrics.json	1	512	1	0.5316464378559833	1.872588539186767	0.14561909869959472	136.31034552635404	50	2593	1.520724121791712	1.50 1.25 1.10 1.04
e60bf480	ok	916109.4	916109.4	913899.8	0.24177705258278606	58.476	1.019349440435101	-0.24177705258278606	-0.24177705258278606	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_e60bf480_1b88c8763c3c/metrics.json	15	256 32	0	0.7203140764362463	1.3928784449974898	0.5588502102892261	139.20345494364204	339	2566	1.0690041824143215	1.75 1.35 1.15 1.05
e77c0629	ok	914154.8	914154.8	913899.8	0.02790240242967555	59.767	1.0418540598961057	-0.02790240242967555	-0.02790240242967555	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_e77c0629_95c26ae09ec0/metrics.json	9	512 64	1	0.6814445581897197	0.6691686223145923	0.09728809157646047	99.47782796682691	88	3149	1.25679111626602	1.25 1.10 1.04
e7ad24e2	ok	913800.0	913800.0	913899.8	-0.010920234362678114	71.965	1.254488721542377	-0.18401638301599638	0.010920234362678114	0.1949366173786745	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_e7ad24e2_24c8e70c8619/metrics.json	54	512	1	0.46670437309963964	1.0951052697222017	0.6581416375730337	135.38199105092292	477	3487	1.2211676056953644	1.50 1.25 1.10 1.04
e9f3d92a	ok	914372.5	914372.5	913899.8	0.051723394621593456	59.375	1.0350207439947008	-0.05172339462159346	-0.05172339462159346	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_e9f3d92a_7682eb270927/metrics.json	17	256	1	0.14681513211049146	1.520839437385699	0.0652461193852825	114.10333355788192	308	1244	1.438408247003515	1.04
ea5e6dcd	ok	913864.7	913864.7	913899.8	-0.0038406836285655305	60.376	1.0524701042429314	0.003840683628565531	0.003840683628565531	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_ea5e6dcd_0a7652f041d0/metrics.json	82	1024	1	0.35622998251838095	1.318864894981475	0.5141942182817247	91.38632074161472	118	372	1.512826724842625	1.04
eacb0563	ok	913769.4	913769.4	913899.8	-0.014268522654236634	62.533	1.090070773628979	0.014268522654236632	0.014268522654236632	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_eacb0563_960278725ed8/metrics.json	7	omit	1	0.7191180238500348	1.3257522975469669	1.117225370701625	124.60383071189787	221	2117	1.4887243294006738	1.10 1.04
eb17cb7e	ok	914688.0	914688.0	913899.8	0.08624577880419203	59.631	1.039483317644598	-0.08624577880419203	-0.08624577880419203	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_eb17cb7e_fbfc5c4c5c1c/metrics.json	72	128	1	0.16197299455158354	1.3458526229618495	0.20325008799718647	104.11194717138682	368	1162	1.415282140506741	1.04
ec98e4e2	ok	913868.2	913868.2	913899.8	-0.0034577094775699838	63.509	1.1070843356692117	-0.005770152326509824	0.003457709477569984	0.009227861804079808	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_ec98e4e2_5812faf7ecee/metrics.json	8	512	0	0.2404949675428415	1.3985970637692169	0.4309861420990265	149.03702195523982	704	3254	1.3243565164105502	1.50 1.25 1.10 1.04
edecee91	ok	914172.4	914172.4	913899.8	0.029828215303250607	61.323	1.0689781403618868	-0.029828215303250607	-0.029828215303250607	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_edecee91_35a13e6c0745/metrics.json	12	1024	1	0.8639990530956144	0.8511540414401642	1.7766106947386917	121.19126234330078	763	840	1.8868819572039999	omit
eee965f9	ok	913957.8	913957.8	913899.8	0.006346428787926203	59.64	1.039640204999477	-0.006346428787926204	-0.006346428787926204	0.0	0	<ORIGINAL_WORKSPACE>/OpenROAD-flow-scripts/flow/reports/asap7/swerv_wrapper/place_batch_20260421_220319/dpl_evolve_baseline/openroad_dpl_hpwl_only_9case_bo_place_batch_20260421_220319_swerv_wrapper_asap7_trial_eee965f9_6495108e625e/metrics.json	15	omit	1	0.6233601157918027	0.031642485693112565	1.8624026058003345	103.63453762753859	1197	772	1.1371357496288779	omit
