case	default_hpwl	default_runtime_s	bo_delta_pct	bo_runtime_ratio	evolve_fw_delta_pct	evolve_fw_runtime_ratio	evolve_rerun1_delta_pct	evolve_rerun1_runtime_ratio
aes_asap7	42207.8	5.35	-0.716218329313546	1.34	-1.9145750311553924	1.913472485768501	-1.7200612209117745	1.655597722960152
aes_nangate45	176845.1	6.242	-0.5322737242931908	1.4333546940083306	-3.668917035303787	1.8563151796060255	-1.6530851010290892	1.903982450219372
ariane133_nangate45	5784913.3	156.299	0.0	0.8518672544290109	N/A	N/A	-0.17544083158514456	0.969478041523834
ibex_asap7	63342.0	6.641	0.0	1.064598705014305	N/A	N/A	-0.49793186195573463	0.9526719542322195
ibex_nangate45	200130.4	4.791	0.0	0.957837612189522	N/A	N/A	-0.8184663599333236	1.6426008968609864
jpeg_asap7	134573.0	19.455	-0.5677959174574438	1.4402981238756105	N/A	N/A	-1.2517369754705625	1.2750387350522427
jpeg_nangate45	467235.7	34.541	-0.03428676361845031	0.9176051648765237	N/A	N/A	-2.1704035029857573	0.7280058651026392
swerv_wrapper_asap7	913899.8	57.209	-0.013929316977643125	0.941949693230086	-0.3307802452741537	1.8990741589513245	-0.40699210132226743	1.20907507562563
swerv_wrapper_nangate45	3267840.1	32.741	0.0	0.9914480315201124	-0.49263426322481324	1.0707844905320107	-0.7445529541056882	1.4706626201315125
